feature,mean_importance
onehotencoder__Gender_Female,0.0
onehotencoder__Blood Pressure_125/82,0.0
onehotencoder__Blood Pressure_126/83,0.0
onehotencoder__Blood Pressure_128/84,0.0
onehotencoder__Blood Pressure_128/85,0.0
onehotencoder__Blood Pressure_129/84,0.0
onehotencoder__Blood Pressure_130/85,0.0
onehotencoder__Blood Pressure_130/86,0.0
onehotencoder__Blood Pressure_131/86,0.0
onehotencoder__Blood Pressure_132/87,0.0
onehotencoder__Blood Pressure_135/90,0.0
onehotencoder__Blood Pressure_139/91,0.0
onehotencoder__Blood Pressure_140/90,0.0
onehotencoder__Blood Pressure_140/95,0.0
onehotencoder__Blood Pressure_142/92,0.0
onehotencoder__Sleep Disorder_Insomnia,0.0
onehotencoder__Sleep Disorder_Sleep Apnea,0.0
onehotencoder__Sleep Disorder_nan,0.0
remainder__Age Norm,0.0
remainder__Physical Norm,0.0
onehotencoder__Blood Pressure_125/80,0.0
onehotencoder__Blood Pressure_121/79,0.0
onehotencoder__Blood Pressure_122/80,0.0
onehotencoder__Blood Pressure_119/77,0.0
onehotencoder__Gender_Male,0.0
onehotencoder__Occupation_Accountant,0.0
onehotencoder__Occupation_Doctor,0.0
onehotencoder__Occupation_Engineer,0.0
onehotencoder__Occupation_Lawyer,0.0
onehotencoder__Occupation_Manager,0.0
onehotencoder__Occupation_Nurse,0.0
onehotencoder__Occupation_Sales Representative,0.0
onehotencoder__Occupation_Salesperson,0.0
onehotencoder__Blood Pressure_120/80,0.0
onehotencoder__Occupation_Scientist,0.0
onehotencoder__Occupation_Teacher,0.0
onehotencoder__BMI Category_Normal,0.0
onehotencoder__BMI Category_Normal Weight,0.0
onehotencoder__BMI Category_Obese,0.0
onehotencoder__BMI Category_Overweight,0.0
onehotencoder__Blood Pressure_115/75,0.0
onehotencoder__Blood Pressure_115/78,0.0
onehotencoder__Blood Pressure_117/76,0.0
onehotencoder__Blood Pressure_118/75,0.0
onehotencoder__Occupation_Software Engineer,0.0
remainder__Steps Norm,0.567593114608597
remainder__Heart Norm,2.29043553926313
remainder__Stress Norm,9.237612923071739
remainder__Sleep Norm,9.812123316124504
