name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,accuracy,0.8122866894197952,3.21
2_DecisionTree,Decision Tree,accuracy,0.9385665529010239,2.73
3_DecisionTree,Decision Tree,accuracy,0.9419795221843004,2.86
4_Linear,Linear,accuracy,0.9795221843003413,4.01
5_Default_LightGBM,LightGBM,accuracy,0.9761092150170648,4.11
6_Default_Xgboost,Xgboost,accuracy,0.9795221843003413,4.82
7_Default_CatBoost,CatBoost,accuracy,0.9795221843003413,3.46
8_Default_NeuralNetwork,Neural Network,accuracy,0.9556313993174061,5.83
9_Default_RandomForest,Random Forest,accuracy,0.962457337883959,4.26
10_Default_ExtraTrees,Extra Trees,accuracy,0.9488054607508533,4.27
11_Default_NearestNeighbors,Nearest Neighbors,accuracy,0.9419795221843004,3.23
21_LightGBM,LightGBM,accuracy,0.9829351535836177,3.93
12_Xgboost,Xgboost,accuracy,0.9829351535836177,5.17
30_CatBoost,CatBoost,accuracy,0.9761092150170648,3.45
39_RandomForest,Random Forest,accuracy,0.9726962457337884,4.65
48_ExtraTrees,Extra Trees,accuracy,0.9556313993174061,4.48
57_NeuralNetwork,Neural Network,accuracy,0.9078498293515358,4.39
66_NearestNeighbors,Nearest Neighbors,accuracy,0.9215017064846417,3.43
22_LightGBM,LightGBM,accuracy,0.9829351535836177,3.94
13_Xgboost,Xgboost,accuracy,0.9795221843003413,4.01
31_CatBoost,CatBoost,accuracy,0.9897610921501706,3.71
40_RandomForest,Random Forest,accuracy,0.9829351535836177,4.93
49_ExtraTrees,Extra Trees,accuracy,0.9829351535836177,4.64
58_NeuralNetwork,Neural Network,accuracy,0.9385665529010239,4.41
67_NearestNeighbors,Nearest Neighbors,accuracy,0.9692832764505119,3.68
23_LightGBM,LightGBM,accuracy,0.9795221843003413,4.7
14_Xgboost,Xgboost,accuracy,0.7440273037542662,4.42
32_CatBoost,CatBoost,accuracy,0.9829351535836177,4.07
41_RandomForest,Random Forest,accuracy,0.9590443686006825,5.2
50_ExtraTrees,Extra Trees,accuracy,0.9078498293515358,5.08
59_NeuralNetwork,Neural Network,accuracy,0.9419795221843004,4.95
68_NearestNeighbors,Nearest Neighbors,accuracy,0.9692832764505119,4.13
24_LightGBM,LightGBM,accuracy,0.9692832764505119,6.43
15_Xgboost,Xgboost,accuracy,0.06825938566552901,5.74
